frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10,3.0137982368,2.6756372452,-1.4392803907,0.788181281470413,-1.0337388341439
19.3069772888325,3.5191862583,3.0757699013,-1.9474498034,0.763876552111274,-1.16976820833659
37.2759372031494,3.6359345913,3.2377128601,-1.6083395481,0.792947687308439,-1.00755463202799
71.9685673001152,3.6918699741,3.267598629,-2.329259634,0.783365816380256,-1.0603538361957
138.949549437314,3.7032291889,3.2977628708,-4.9999995232,0.793008178310794,-1.00722333770752
268.269579527972,3.6912703514,3.2470271587,-8.4978542328,0.773784691616988,-1.11379866514532
517.947467923121,3.725771904,3.1366279125,-17.8881988525,0.708750664384662,-1.49506520990102
1000,3.7823808193,2.8374447823,-32.2038955688,0.562761440256829,-2.49675667558165
1930.69772888325,3.9802303314,2.238502264,-50.5555534363,0.316299617019337,-4.99901333934702
3727.59372031494,4.0405459404,1.41025877,-67.818321228,0.121819698509361,-9.14282479665355
7196.85673001151,4.1034884453,0.7728300691,-77.2910461426,0.035470033007016,-14.5013840739053
13894.9549437314,4.115486145,0.3906411231,-83.6161270142,0.009009768492644,-20.4528636813956
26826.9579527973,4.1028232574,0.1730830818,-84.9785461426,0.001779686972141,-27.4965637871738
51794.746792312,4.1159234047,0.0332166404,-82.255569458,6.51293646344529E-05,-41.862231585386
100000,4.1285891533,0.0979404822,-90,0.000562757305162,-32.4967885870697
